Title,Company,Location,Salary Min,Salary Max,Category,Description,URL,Salary Avg,Is Remote
Marketing Data Analyst,Verisure,"Victoria, South West London",39345.36,39345.36,"PR, Advertising & Marketing Jobs","MARKETING DATA ANALYST Verisure are looking for a Marketing Data Analyst reporting to the Marketing Director/ BI Director . This person will be responsible for data analytics (internal and external), creating analyses, dashboards, and reports to assist in measuring and optimising marketing performance. MARKETING DATA ANALYST - JD Verisure are looking for a Marketing Data Analyst reporting to the Marketing Director/ BI Director . This person will be responsible for data analytics (internal and e…",https://www.adzuna.co.uk/jobs/land/ad/5147556726?se=lpsSeCAd8BG-i3PTGXcHCQ&utm_medium=api&utm_source=335654ca&v=AB96784CB6259727E295011E922EDE2BEB9F3A9D,39345.36,False
Data Analyst,Riada Resourcing,"London, UK",35000.0,35000.0,IT Jobs,"Product Data Manager - L/Derry - Permanent Reporting to the Product Data Manager, the Business Data Specialist will be responsible for ongoing business data functions, in a manner consistent with the Companys standard procedures for the most efficient and accurate data metrics, including data creation and updating to enable preparation and interpretation of information to be used for driving SAP functions and in making economic decisions. About the role: £Competitive salary Monday Thursday (08:…",https://www.adzuna.co.uk/jobs/land/ad/5152652618?se=lpsSeCAd8BG-i3PTGXcHCQ&utm_medium=api&utm_source=335654ca&v=1B83397F8BEA76D93976A74C0D28F4F5BD541116,35000.0,False
Data Analyst,International SOS,"London, UK",41867.27,41867.27,IT Jobs,"International SOS is the world’s leading medical and security services company with over 12,000 employees working in 1,000 locations in 90 countries. International SOS Government Services administers the TRICARE Overseas Program providing high-quality, accessible health care services for U.S. Military service members, family members, retirees, and other eligible beneficiaries overseas. About the role Join our team as a Data Analyst where you will be part of a dynamic team dedicated to deliverin…",https://www.adzuna.co.uk/jobs/land/ad/5074258206?se=lpsSeCAd8BG-i3PTGXcHCQ&utm_medium=api&utm_source=335654ca&v=C5592B7DA72DCD34DD356A1E47DB5E636C292F1A,41867.27,False
Data Analyst,G-Research,"London, UK",51156.44,51156.44,Accounting & Finance Jobs,"Do you want to tackle the biggest questions in finance with near infinite compute power at your fingertips? G-Research is a leading quantitative research and technology firm, with offices in London and Dallas. We are proud to employ some of the best people in their field and to nurture their talent in a dynamic, flexible and highly stimulating culture where world-beating ideas are cultivated and rewarded. This role is based in our new Soho Place office – opened in 2023 - in the heart of Central…",https://www.adzuna.co.uk/jobs/land/ad/5059317803?se=lpsSeCAd8BG-i3PTGXcHCQ&utm_medium=api&utm_source=335654ca&v=B7919A665EFE26E8AAAD8A2A14C2EE25D5FDA1E2,51156.44,False
Cloud Monitoring & Data Analyst,Proactive Appointments Limited,"Hampton Wick, Kingston Upon Thames",70000.0,70000.0,IT Jobs,"Cloud Monitoring & Data Analyst 5 days onsite - Police Security Clearance checks required We are seeking a skilled Cloud Monitoring & Data Analyst for our client in Kingston upon Thames. This is a fantastic opportunity for an experienced professional to manage and monitor an Azure-based SaaS solution, ensuring system reliability and an exceptional customer experience. The successful candidate will play a key role in real-time issue detection, incident escalation, and long-term trend analysis. K…",https://www.adzuna.co.uk/jobs/land/ad/5124490759?se=lpsSeCAd8BG-i3PTGXcHCQ&utm_medium=api&utm_source=335654ca&v=F87A32457F44422FCEFED4D1CEB90A90DF5687DF,70000.0,False
Senior Data Analyst,ARK SCHOOLS,"London, UK",45000.0,50000.0,IT Jobs,"Senior Data Analyst Reports to: Head of Insight Location: Currently operating hybrid working in our West London Office Contract: Permanent Pattern: Full Time (standard hours 9am – 5.30pm) Closing date: 05/05/2025 1st round interviews: w/c 05/05/2025 (virtual) Remote data task: 12/05/2025 (for shortlisted candidates to undertake) 2nd round interviews: w/c 19/05/2025 (in person) Salary: £45,000 to £50,000 (depending on experience) About the role: Ark has a rich and complex data platform, designed…",https://www.adzuna.co.uk/jobs/land/ad/5141588711?se=lpsSeCAd8BG-i3PTGXcHCQ&utm_medium=api&utm_source=335654ca&v=A0806C5104F0924B0796D332EBFA81BC6EC719C1,47500.0,True
Pension System Calculation and Data Analyst,Johnson Matthey Plc,"Blackfriars, Central London",48215.78,48215.78,Accounting & Finance Jobs,"We are seeking an experienced Pensions Data Analyst with expertise in UK pension schemes and the Altair (or alternative) pension administration system. In this role you will support the Pension & Reward Operations Manager with all aspects of the maintenance and development of the Pensions Administration System (Altair). You will assist in production, management and processing of all data extracts and interfaces and to provide ongoing support to pension projects. In this role you will: Support t…",https://www.adzuna.co.uk/jobs/land/ad/5138517715?se=lpsSeCAd8BG-i3PTGXcHCQ&utm_medium=api&utm_source=335654ca&v=E3835CF43567FC486332AFD83EDC057F80A208F3,48215.78,False
BI Data Analyst,The London Clinic,"London, UK",47672.32,47672.32,IT Jobs,"We have an exciting opportunity for a BI Data Analyst to join our Business Intelligence Team within our IT Directorate here at The London Clinic. This role is based at our head office in Central London with remote working available, and we are offering a competitive inclusive salary. Established in 1932, The London Clinic is one of the UK’s largest private hospitals, with 8 state-of-the-art facilities, and circa 1350 employees where we are dedicated to providing our patients with expert, indivi…",https://www.adzuna.co.uk/jobs/land/ad/5056335989?se=lpsSeCAd8BG-i3PTGXcHCQ&utm_medium=api&utm_source=335654ca&v=E36A35435E6F47FC20DDF7880CA7345D3A1BC1DE,47672.32,True
Data Quality Analyst,Southern Housing,"London, UK",35000.0,35000.0,IT Jobs,Are you ready to make a real impact on data quality and information management within a forward-thinking organisation? Southern Housing is on the lookout for a talented Data Quality Analyst to become an integral part of our Data & Business Information Team. This role presents an exciting opportunity to support in modern innovation within data management by utilising our new technology software to develop and implement rules aimed at monitoring and enhancing data quality. Reporting to our Data Q…,https://www.adzuna.co.uk/jobs/land/ad/5150602381?se=lpsSeCAd8BG-i3PTGXcHCQ&utm_medium=api&utm_source=335654ca&v=82E50676DD00BCB734DA9F4C9040EEB33C0BAB98,35000.0,False
Asset Data Analyst,Clarion,"London, UK",33065.0,46605.0,IT Jobs,"Salary: London - £35,627 - £46,605/ Rest of UK - £33,065 - £42,581 per annum Location: Hybrid/Flexible Hours: 36 per week Contract Type: 12 month Fixed Term Contract/Secondment We're seeking a reliable and diligent Asset Data Analyst to join our Asset Management Team on a fixed term basis. You'll work collaboratively across Clarion to ensure asset data is effectively managed and administered in an effective governance framework. This includes the implementation of data collection strategies and…",https://www.adzuna.co.uk/jobs/land/ad/5137237259?se=lpsSeCAd8BG-i3PTGXcHCQ&utm_medium=api&utm_source=335654ca&v=9565D32537BAAB2B007F711C7C3D22FD4D01832D,39835.0,False
